Image Number,Num_Vertices,Perimeter,Contour Area,ratio of perimeter and area,Circularity,Min_Angle_Change,Max_Angle_Change,Mean_Angle_Change,dim1 of tfb,dim2 of tfb,Ratio_Area_to_Bounding_Rect,Symmetry,gradient_magnitude
0118.jpg,238,1568.9015825986862,135258.0,0.011599325604390765,0.6905282065652447,45.00000000000001,135.0,133.109243697479,450.0,335.0,0.887962500984743,7.82523189915602,0.7882986111111111
0119.jpg,59,1559.012192606926,146100.5,0.010670820377801074,0.7553748879686382,45.00000000000001,135.0,131.1864406779661,450.0177774266257,333.0135132393279,0.9591430109503427,6.974856439201256,0.7140342881944445
0121.jpg,191,1571.1787132024765,105955.5,0.01482866593241952,0.5393642983419363,45.00000000000001,135.0,132.40837696335078,451.0,335.0,0.6976631637168141,8.240380037006643,0.7087717013888889
0122.jpg,390,1385.8620433807373,97375.0,0.014232216106605775,0.6371142724810981,90.0,135.0,132.23076923076923,335.0537270349339,449.0712638323677,0.6425865800865801,7.319484646892664,0.6381662326388889
0126.jpg,179,1526.6934319734573,133072.5,0.011472644099821206,0.7174547339869677,90.0,135.0,133.74301675977654,336.00595232822883,451.00997771667977,0.8736147947795488,7.717979022997693,0.725390625
0129.jpg,374,1429.59501349926,121953.5,0.011722459900693788,0.7498563672605459,45.00000000000001,135.0,132.8342245989305,463.32386081444156,321.895945920417,0.8006190751293296,6.9893728872492105,0.66607421875
0131.jpg,587,1369.3595136404037,118755.5,0.011530914472512041,0.7958452521804134,90.0,135.0,134.00340715502554,443.5459389961766,336.2528810285497,0.7813530104548415,6.752576754512306,0.6311848958333334
0134.jpg,267,1521.747254729271,106031.5,0.014351841242737026,0.5753865627790289,90.0,135.0,132.47191011235955,448.7638577247504,320.7615937109678,0.6960918830913054,7.428042904083024,0.6833528645833333
0140.jpg,32,1565.213203072548,149029.5,0.010502707202752126,0.7644253892887133,90.0,135.0,132.1875,451.00997771667977,335.01343256651666,0.978371760195373,6.560740999578161,0.7065950520833333
0142.jpg,417,1478.2985513210297,111055.0,0.013311409223547158,0.6385923003541173,45.00000000000001,135.0,133.38129496402877,449.32171102674306,333.2161460673837,0.7306874930092705,7.758746831024632,0.6746527777777778
0144.jpg,81,1577.1543279886246,74116.5,0.021279395653985612,0.37443495263825904,90.0,135.0,131.11111111111111,348.08045047086455,402.5046583581363,0.487650259561673,9.141236414013317,0.7174457465277778
0146.jpg,34,1564.6274166107178,148959.0,0.010503745437407057,0.7646359979181692,90.0,135.0,132.35294117647058,334.0134727821619,449.0100221598623,0.9779089309629474,6.486478146498331,0.7036089409722223
0148.jpg,206,1519.6639944314957,136787.5,0.011109670068036155,0.7443224678494978,90.0,135.0,133.25242718446603,450.00444442249676,336.00595232822883,0.898003597594601,7.600036989884808,0.6797916666666667
0152.jpg,272,1503.747254729271,125616.5,0.011970937374702137,0.6980826715917247,90.0,135.0,133.6764705882353,450.28435460273323,335.18054836162554,0.8271208649388959,7.5717600978617785,0.6892165798611111
0165.jpg,425,1365.3595148324966,107106.5,0.012747681184918718,0.7219907765491245,90.0,135.0,133.41176470588235,332.0963715550051,451.1341263970173,0.7052419142435735,7.181678524645624,0.6445269097222223
0166.jpg,25,1569.2132029533386,139186.5,0.011274176755312754,0.7103020550038237,90.0,135.0,129.6,451.0,336.0,0.9137529214043749,6.5420712894785265,0.7946028645833333
0171.jpg,528,1420.4234417676926,107498.5,0.013213425692150985,0.6695401207502145,90.0,135.0,134.14772727272728,434.93562742088625,331.6157414840255,0.7093924875937071,7.353539518031794,0.6554448784722222
0177.jpg,316,1482.8599525690079,120422.5,0.012313811393792753,0.6882040598030947,45.00000000000001,135.0,134.14556962025316,488.082984747471,290.36700914532287,0.7923210537743359,7.59858498278374,0.6789019097222222
0180.jpg,430,1468.0975407361984,99561.0,0.014745709070180074,0.580482714255161,45.00000000000001,135.0,133.11627906976744,306.0228749619871,475.60172413480586,0.6550626040385032,7.439530036588182,0.67822265625
0181.jpg,18,1565.455843925476,151482.0,0.01033426970812028,0.7767642872032818,90.0,135.0,130.0,450.0,335.0,0.9944723090254983,5.651421561139575,0.8233637152777777
0188.jpg,381,1470.9848427772522,114666.0,0.012828430770910752,0.6659293119036032,45.00000000000001,135.0,132.99212598425197,419.98690455774926,337.37960815674677,0.7550173830594185,7.211067801315433,0.6734027777777778
0197.jpg,472,1433.0092281103134,98533.0,0.014543444613584417,0.6029670714390991,90.0,135.0,133.66525423728814,334.2932844075693,451.4432411721323,0.648789770332912,7.730178112730972,0.6618619791666667
0198.jpg,45,1561.698484301567,147630.5,0.010578427115681157,0.7606617479582813,90.0,135.0,132.0,451.0,336.0,0.9691873900370264,6.867431889549312,0.7534613715277778
0203.jpg,315,1499.3868631124496,127443.0,0.011765156682693045,0.712358231880631,90.0,135.0,134.0,447.02796333115447,337.0370899470858,0.8366573881988393,6.895086094310156,0.6815776909722222
0204.jpg,439,1495.1929928064346,123767.5,0.012080659242583348,0.6956999570429574,90.0,135.0,134.28246013667425,452.133829745132,317.7624899197512,0.8149461388537717,7.492754586764952,0.6857638888888888
0209.jpg,201,1586.835567355156,131413.5,0.0120751335848688,0.6558220189928685,90.0,135.0,132.53731343283582,331.074009852782,453.0893951528771,0.8627235366718311,7.231445654227561,0.7144661458333333
0211.jpg,173,1527.622364282608,134173.0,0.011385467748970418,0.7225085300426483,90.0,135.0,133.17919075144508,335.18054836162554,450.21772510642006,0.8834610724820902,7.405973814091583,0.69599609375
0212.jpg,239,1528.534051656723,106916.0,0.014296588458759429,0.5750456601141921,45.00000000000001,135.0,132.92887029288704,449.13806340589747,322.2483514310042,0.7018985845959927,7.630210475783538,0.7012543402777778
0218.jpg,468,1395.6437851190567,103421.5,0.013494716138511399,0.6672237925755673,90.0,135.0,132.8846153846154,450.0,336.0,0.680462802739708,7.366918614781401,0.6513671875
0224.jpg,148,1531.3797235488892,90066.5,0.017002767105959365,0.4826222782321688,90.0,135.0,132.56756756756758,456.9343497702925,322.3988213377958,0.5912823980462698,7.978901905700204,0.72822265625
0226.jpg,243,1522.7766922712326,126724.5,0.01201643480361913,0.6867489572734128,90.0,135.0,133.33333333333334,440.6007262817437,327.44159784608917,0.8362666297117517,7.509378270086741,0.6944574652777777
0227.jpg,41,1565.698484301567,148523.5,0.010541755912711235,0.7613577566904695,45.00000000000001,135.0,127.3170731707317,450.0177774266257,333.0135132393279,0.9750498936477509,6.5273414743627,0.7040190972222222
0232.jpg,253,1492.8183224201202,132045.0,0.011305375609982356,0.7445912207098305,90.0,135.0,134.1106719367589,450.0,335.0,0.8668693049027074,7.652673719873189,0.6719249131944445
